Pixel,Intensity
-188.266817843563,797
-185.749776455851,845
-183.233324357834,826
-180.717461549512,825
-178.202188030885,823
-175.687503801953,839
-173.173408862717,868
-170.659903213175,857
-168.146986853328,846
-165.634659783177,763
-163.122922002721,819
-160.61177351196,841
-158.101214310894,787
-155.591244399523,748
-153.081863777847,831
-150.573072445867,818
-148.064870403581,794
-145.55725765099,774
-143.050234188095,793
-140.543800014895,805
-138.03795513139,870
-135.53269953758,815
-133.028033233465,815
-130.523956219045,863
-128.02046849432,827
-125.517570059291,848
-123.015260913956,880
-120.513541058317,887
-118.012410492373,848
-115.511869216124,850
-113.011917229569,896
-110.51255453271,925
-108.013781125547,898
-105.515597008078,897
-103.018002180304,932
-100.520996642226,911
-98.0245803938425,908
-95.5287534351542,963
-93.033515766161,1014
-90.5388673868629,1081
-88.0448082972599,1138
-85.5513384973522,1185
-83.0584579871394,1170
-80.5661667666217,1305
-78.0744648357993,1233
-75.5833521946719,1317
-73.0928288432395,1343
-70.6028947815024,1504
-68.1135500094603,1378
-65.6247945271133,1344
-63.1366283344614,1334
-60.6490514315046,1404
-58.162063818243,1497
-55.6756654946764,1570
-53.189856460805,1729
-50.7046367166288,1773
-48.2200062621475,2041
-45.7359650973614,2392
-43.2525132222704,2734
-40.7696506368745,3277
-38.2873773411737,4157
-35.8056933351681,5220
-33.3245986188575,6558
-30.844093192242,9452
-28.3641770553218,18013
-25.8848502080965,37844
-23.4061126505665,57550
-20.9279643827314,65036
-18.4504054045914,65036
-15.9734357161467,65036
-13.497055317397,65036
-11.0212642083424,65036
-8.54606238898293,65036
-6.07144985931859,65036
-3.59742661934922,65036
-1.12399266907516,65036
1.34885199150392,65036
3.82110736238792,65036
6.29277344357661,65036
8.76385023507032,65036
11.234337736869,24846
13.7042359489724,4731
16.1735448713808,3030
18.6422645040942,2542
21.1103948471123,1978
23.5779359004354,1628
26.0448876640634,1480
28.5112501379961,1516
30.9770233222339,1511
33.4422072167764,1470
35.906801821624,1269
38.3708071367764,1137
40.8342231622337,1004
43.2970498979959,1035
45.759287344063,1164
48.2209355004348,1178
50.6819943671118,1160
53.1424639440936,1199
55.6023442313801,1178
58.0616352289717,1021
60.5203369368681,1048
62.9784493550694,1052
